canonical_person_key,matched_person_name,status,preferred_name_hint,preferred_cargo,aliases,notes
MONTERO CUADRADO,,pending_manual_review,MONTERO CUADRADO,VICEPRESIDENTA PRIMERA Y MINISTRA HACIENDA,La señora VICEPRESIDENTA PRIMERA Y MINISTRA HACIENDA (Montero Cuadrado); La señora VICEPRESIDENTA PRIMERA DEL GOBIERNO Y MINISTRA DE HACIENDA (Montero Cuadrado); La señora VICEPRESIDENTA CUARTA Y MINISTRA DE HACIENDA Y FUNCIÓN PÚBLICA (Montero Cuadrado); La señora MINISTRA DE HACIENDA (Montero Cuadrado),Added automatically
ROBLES FERNANDEZ,,pending_manual_review,ROBLES FERNANDEZ,MINISTRA DE DEFENSA,La señora MINISTRA DE DEFENSA (Robles Fernández),Added automatically
GOBIERNO HACIENDA,,pending_manual_review,VICEPRESIDENTA PRIMERA DEL GOBIERNO Y MINISTRA DE HACIENDA,VICEPRESIDENTA PRIMERA DEL GOBIERNO Y MINISTRA DE HACIENDA,La señora VICEPRESIDENTA PRIMERA DEL GOBIERNO Y MINISTRA DE HACIENDA,Added automatically
RIBERA RODRIGUEZ,,pending_manual_review,RIBERA RODRIGUEZ,VICEPRESIDENTA TERCERA Y MINISTRA PARA LA TRANSICION ECOLOGICA Y EL RETO DEMOGRAFICO,La señora VICEPRESIDENTA TERCERA Y MINISTRA PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO (Ribera Rodríguez),Added automatically
TOLON JAIME,,pending_manual_review,TOLON JAIME,MINISTRA DE EDUCACION Y FORMACION PROFESIONAL Y DEPORTES,La señora MINISTRA DE EDUCACIÓN Y FORMACIÓN PROFESIONAL Y DEPORTES (Tolón Jaime),Added automatically
SANCHEZ PEREZ CASTEJON,,pending_manual_review,SANCHEZ PEREZ CASTEJON,PRESIDENTE DEL GOBIERNO,El señor PRESIDENTE DEL GOBIERNO (Pérez Sánchez-Castejón); El señor PRESIDENTE DEL GOBIERNO (Sánchez Pérez Castejón),Added automatically
CALVINO SANTAMARIA,,pending_manual_review,CALVINO SANTAMARIA,VICEPRESIDENTA PRIMERA Y MINISTRA DE ECONOMIA COMERCIO Y EMPRESA,"La señora VICEPRESIDENTA PRIMERA Y MINISTRA DE ECONOMÍA, COMERCIO Y EMPRESA (Calviño Santamaría)",Added automatically
URTASUN DOMENECH,,pending_manual_review,URTASUN DOMENECH,MINISTRO DE CULTURA,El señor MINISTRO DE CULTURA (Urtasun Domènech),Added automatically
MORANT RIPOLL,,pending_manual_review,MORANT RIPOLL,MINISTRA DE CIENCIA INNOVACION Y UNIVERSIDADES,"La señora MINISTRA DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES (Morant Ripoll); La señora MINISTRA DE CIENCIA E INNOVACIÓN (Morant Ripoll)",Added automatically
ALEGRIA CONTINENTE,,pending_manual_review,ALEGRIA CONTINENTE,MINISTRA DE EDUCACION FORMACION PROFESIONAL Y DEPORTE,"La señora MINISTRA DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTE (Alegría Continente); La señora MINISTRA DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES Y PORTAVOZ DEL GOBIERNO (Alegría Continente)",Added automatically
CUERPO CABALLERO,,pending_manual_review,CUERPO CABALLERO,MINISTRO DE ECONOMIA COMERCIO Y EMPRESA,"El señor MINISTRO DE ECONOMÍA, COMERCIO Y EMPRESA (Cuerpo Caballero)",Added automatically
RODRIGUEZ GARCIA,,pending_manual_review,RODRIGUEZ GARCIA,MINISTRA DE VIVIENDA Y AGENDA URBANA,La señora MINISTRA DE VIVIENDA Y AGENDA URBANA (Rodríguez García),Added automatically
POLITICA TERRITORIAL MEMORIA DEMOCRATICA,,pending_manual_review,MINISTRO DE POLITICA TERRITORIAL Y MEMORIA DEMOCRATICA,MINISTRO DE POLITICA TERRITORIAL Y MEMORIA DEMOCRATICA,El señor MINISTRO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,Added automatically
LOPEZ AGUEDA,,pending_manual_review,LOPEZ AGUEDA,MINISTRO PARA LA TRANSFORMACION DIGITAL Y DE LA FUNCIÓN PÚBLICA,El señor MINISTRO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA (López Águeda),Added automatically
SAIZ DELGADO,,pending_manual_review,SAIZ DELGADO,MINISTRA DE INCLUSION SEGURIDAD SOCIAL Y MIGRACIONES,"La señora MINISTRA DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES (Saiz Delgado); La señora MINISTRA DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES (Sáinz Delgado)",Added automatically
PEREZ SANCHEZCASTEJON,,pending_manual_review,PEREZ SANCHEZCASTEJON,PRESIDENTE DEL GOBIERNO,El señor PRESIDENTE DEL GOBIERNO (Pérez SánchezCastejón),Added automatically
ABED REGO,,pending_manual_review,ABED REGO,MINISTRA DE JUVENTUD E INFANCIA,La señora MINISTRA DE JUVENTUD E INFANCIA (Abed Rego),Added automatically
REDONDO GARCIA,,pending_manual_review,REDONDO GARCIA,MINISTRA DE IGUALDAD,La señora MINISTRA DE IGUALDAD (Redondo García),Added automatically
HEREU BOHER,,pending_manual_review,HEREU BOHER,MINISTRO DE INDUSTRIA Y TURISMO,El señor MINISTRO DE INDUSTRIA Y TURISMO (Hereu Boher),Added automatically
ALBARES BUENO,,pending_manual_review,ALBARES BUENO,MINISTRO DE ASUNTOS EXTERIORES UNION EUROPEA Y COOPERACION,"El señor MINISTRO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN (Albares Bueno)",Added automatically
TORRES PEREZ,,pending_manual_review,TORRES PEREZ,MINISTRO DE POLITICA TERRITORIAL Y MEMORIA DEMOCRATICA,El señor MINISTRO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA (Torres Pérez),Added automatically
PUENTE SANTIAGO,,pending_manual_review,PUENTE SANTIAGO,MINISTRO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,El señor MINISTRO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE (Puente Santiago),Added automatically
BOLANOS GARCIA,,pending_manual_review,BOLANOS GARCIA,MINISTRO DE PRESIDENCIA JUSTICIA Y RELACIONES CON LAS CORTES,"El señor MINISTRO DE PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES (Bolaños García); El señor MINISTRO DE LA PRESIDENCIA, JUSTICIA Y MEMORIA DEMOCRÁTICA (Bolaños García); El señor MINISTRO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA (Bolaños García)",Added automatically
AAGESEN MUNOZ,,pending_manual_review,AAGESEN MUNOZ,VICEPRESIDENTA TERCERA Y MINISTRA PARA LA TRANSICION ECOLOGICA Y EL RETO DEMOGRAFICO,La señora VICEPRESIDENTA TERCERA Y MINISTRA PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO (Aagesen Muñoz),Added automatically
DIAZ PEREZ,,pending_manual_review,DIAZ PEREZ,VICEPRESIDENTA SEGUNDA Y MINISTRA DE TRABAJO Y ECONOMIA SOCIAL,La señora VICEPRESIDENTA SEGUNDA Y MINISTRA DE TRABAJO Y ECONOMÍA SOCIAL (Díaz Pérez); La señora DÍAZ PÉREZ (vicepresidenta segunda y ministra de Trabajo y Economía Social),Added automatically
GARCIA GOMEZ,,pending_manual_review,GARCIA GOMEZ,MINISTRA DE SANIDAD,La señora MINISTRA DE SANIDAD (García Gómez),Added automatically
ESCRIVA BELMONTE,,pending_manual_review,ESCRIVA BELMONTE,MINISTRO PARA LA TRANSFORMACION DIGITAL Y DE LA FUNCION PUBLICA,El señor MINISTRO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA (Escrivá Belmonte),Added automatically
GRANDE MARLASKA GOMEZ,,pending_manual_review,GRANDE MARLASKA GOMEZ,MINISTRO DEL INTERIOR,El señor MINISTRO DE INTERIOR (Grande-Marlaska); El señor MINISTRO DEL INTERIOR (Grande Marlaska Gómez),Added automatically
CUERPO CABELLO,,pending_manual_review,CUERPO CABELLO,MINISTRO DE ECONOMIA COMERCIO Y EMPRESA,"El señor MINISTRO DE ECONOMÍA, COMERCIO Y EMPRESA (Cuerpo Cabello)",Added automatically
TRABAJO ECONOMIA SOCIAL,,pending_manual_review,VICEPRESIDENTA SEGUNDA Y MINISTRA DE TRABAJO Y ECONOMIA SOCIAL,DIAZ PEREZ,La señora DÍAZ PÉREZ (vicepresidenta segunda y ministra de Trabajo y Economía Social),Added automatically
REGO,,pending_manual_review,REGO,MINISTRA DE JUVENTUD E INFANCIA,La señora MINISTRA DE JUVENTUD E INFANCIA (Rego),Added automatically
